code,en,no,de,el,es,it,nl,pl,sl
A000Y,Common millet and similar-,Hirse og lignende,Rispenhirse und ähnliche,Κεχρί και παρόμοια,Mijo común y similares,Miglio comune e simili,Pluimgierst en soortgelijke,Proso zwyczajne i podobne,Navadno proso in podobno
A001C,Rice and similar-,Ris og lignende,Reis und ähnliche,Ρύζι και παρόμοια,Arroz y similares,Riso e simili,Rijst en soortgelijke,Ryż i podobne,Riž in podobno
A002G,Buckwheat flour,Bokhvetemel,Buchweizenmehl,Αλεύρι φαγόπυρου,Harina de trigo sarraceno,Farina di grano saraceno,Boekweitmeel,Mąka gryczana,Ajdova moka
A002H,Buckwheat groats,Bokhvetegryn,Buchweizengrütze,Πλιγούρι φαγόπυρου,Sémola de trigo sarraceno,Semola di grano saraceno,Boekweitgort,Kasza gryczana,Ajdova kaša
A002R,Maize starch,Maisstivelse,Maisstärke,Άμυλο καλαμποκιού,Almidón de maíz,Amido di mais,Maïszetmeel,Skrobia kukurydziana,Koruzni škrob
A002Y,Oat flour,Havremel,Hafermehl,Αλεύρι βρώμης,Harina de avena,Farina di avena,Havermeel,Mąka owsiana,Ovsena moka
A003B,Oat bran,Havrekli,Haferkleie,Πίτουρο βρώμης,Salvado de avena,Crusca di avena,Haverzemelen,Otręby owsiane,Ovseni otrobi
A003F,Rice flour,Rismel,Reismehl,Αλεύρι ρυζιού,Harina de arroz,Farina di riso,Rijstmeel,Mąka ryżowa,Rižena moka
A003J,Rye flour,Rugmel,Roggenmehl,Αλεύρι σίκαλης,Harina de centeno,Farina di segale,Roggemeel,Mąka żytnia,Ržena moka
A003X,Wheat flour,Hvetemel,Weizenmehl,Αλεύρι σίτου,Harina de trigo,Farina di frumento,Tarwemeel,Mąka pszenna,Pšenična moka
A004F,Wheat semolina,Hvetesemule,Weizengrieß,Σιμιγδάλι σίτου,Sémola de trigo,Semola di grano,Tarwegriesmeel,Kasza manna,Pšenični zdrob
A004G,Bulgur,Bulgur,Bulgur,Πλιγούρι,Bulgur,Bulgur,Bulgur,Bulgur,Bulgur
A004H,Spelt flour,Speltmel,Dinkelmehl,Αλεύρι ντίνκελ,Harina de espelta,Farina di farro,Speltmeel,Mąka orkiszowa,Pirina moka
A004P,Wheat bran,Hvetekli,Weizenkleie,Πίτουρο σίτου,Salvado de trigo,Crusca di frumento,Tarwezemelen,Otręby pszenne,Pšenični otrobi
A004Q,Wheat germ,Hvetekim,Weizenkeime,Φύτρο σίτου,Germen de trigo,Germe di grano,Tarwekiemen,Zarodki pszenne,Pšenični kalčki
A004Y,"Wheat bread and rolls, white (refined flour)",Hvetebrød og rundstykker av siktet mel,Weizenbrot und Brötchen aus hellem Mehl,Ψωμί και ψωμάκια σίτου λευκά,Pan y panecillos de trigo blancos,Pane e panini di frumento bianchi,Tarwebrood en broodjes wit,Chleb i bułki pszenne białe,Pšenični kruh in žemlje beli
A005D,"Wheat bread and rolls, semi-brown",Halvgrovt hvetebrød og rundstykker,Weizenbrot und Brötchen halbdunkel,Ψωμί και ψωμάκια σίτου ημίμαυρα,Pan y panecillos de trigo semiintegrales,Pane e panini di frumento semi-integrali,Tarwebrood en broodjes halfbruin,Chleb i bułki pszenne półrazowe,Pšenični kruh in žemlje polbeli
A005E,"Wheat bread and rolls, brown or wholemeal",Grovt hvetebrød og rundstykker,Weizenvollkornbrot und -brötchen,Ψωμί και ψωμάκια σίτου ολικής άλεσης,Pan y panecillos de trigo integrales,Pane e panini di frumento integrali,Tarwebrood en broodjes bruin of volkoren,Chleb i bułki pszenne razowe,Pšenični kruh in žemlje polnozrnati
A005F,Rye only bread and rolls,Rent rugbrød og rundstykker,Reines Roggenbrot und -brötchen,Ψωμί και ψωμάκια μόνο σίκαλης,Pan y panecillos solo de centeno,Pane e panini di sola segale,Roggebrood en broodjes,Chleb i bułki wyłącznie żytnie,Kruh in žemlje samo iz rži
A005K,Bread and rolls with special ingredients added,Brød og rundstykker med spesielle ingredienser,Brot und Brötchen mit besonderen Zutaten,Ψωμί και ψωμάκια με ειδικά συστατικά,Pan y panecillos con ingredientes especiales,Pane e panini con ingredienti speciali,Brood en broodjes met speciale ingrediënten,Chleb i bułki ze specjalnymi dodatkami,Kruh in žemlje s posebnimi sestavinami
A005M,Mixed wheat and rye bread and rolls,Blandet hvete- og rugbrød og rundstykker,Weizenmischbrot und -brötchen,Ψωμί και ψωμάκια σίτου και σίκαλης,Pan y panecillos de trigo y centeno,Pane e panini di frumento e segale,Tarwe-roggebrood en broodjes,Chleb i bułki pszenno-żytnie,Mešani pšenično-rženi kruh in žemlje
A005Q,Multigrain (not only rye-wheat) bread and rolls,Flerkornbrød og rundstykker,Mehrkornbrot und -brötchen,Πολύσπορο ψωμί και ψωμάκια,Pan y panecillos multicereales,Pane e panini multicereali,Meergranenbrood en broodjes,Chleb i bułki wielozbożowe,Večzrnati kruh in žemlje
A005R,Gluten free bread,Glutenfritt brød,Glutenfreies Brot,Ψωμί χωρίς γλουτένη,Pan sin gluten,Pane senza glutine,Glutenvrij brood,Chleb bezglutenowy,Brezglutenski kruh
A005Y,Crackers and breadsticks,Kjeks og grissini,Cracker und Grissini,Κράκερ και κριτσίνια,Galletas saladas y palitos de pan,Cracker e grissini,Crackers en soepstengels,Krakersy i paluszki chlebowe,Krekerji in kruhove palčke
A006A,Rye crisp bread,Rugknekkebrød,Roggenknäckebrot,Φρυγανιές σίκαλης,Pan crujiente de centeno,Pane croccante di segale,Roggeknäckebröd,Pieczywo chrupkie żytnie,Rženi hrustljavi kruhki
A006D,Wheat crisp bread,Hveteknekkebrød,Weizenknäckebrot,Φρυγανιές σίτου,Pan crujiente de trigo,Pane croccante di frumento,Tarweknäckebröd,Pieczywo chrupkie pszenne,Pšenični hrustljavi kruhki
A006H,Puffed cereals textured bread,Brød av pufset korn,Brot aus gepufftem Getreide,Ψωμί από διογκωμένα δημητριακά,Pan de cereales inflados,Pane di cereali soffiati,Brood van gepofte granen,Pieczywo z ziaren ekspandowanych,Kruh iz napihnjenih žit
A006M,Rusk,Kavring,Zwieback,Παξιμάδι,Biscote,Fette biscottate,Beschuit,Sucharki,Prepečenec
A006S,Pita bread,Pitabrød,Pitabrot,Πίτα,Pan de pita,Pane pita,Pitabrood,Pita,Pita kruh
A006T,Matzo,Matze,Matze,Άζυμο ψωμί,Pan ácimo,Pane azzimo,Matze,Maca,Maca
A006V,Tortilla,Tortilla,Tortilla,Τορτίγια,Tortilla,Tortilla,Tortilla,Tortilla,Tortilja
A006X,Roti,Roti,Roti,Ρότι,Roti,Roti,Roti,Roti,Roti
A007A,Breadcrumbs,Griljermel,Semmelbrösel,Τριμμένη φρυγανιά,Pan rallado,Pangrattato,Paneermeel,Bułka tarta,Krušne drobtine
A007B,Croutons,Krutonger,Croûtons,Κρουτόν,Picatostes,Crostini,Croutons,Grzanki,Kruhovi kockci
A007E,"Pasta, plain (not stuffed), uncooked",Pasta uten fyll ukokt,Nudeln ungefüllt ungekocht,Ζυμαρικά απλά άβραστα,Pasta simple sin cocer,Pasta semplice non cotta,Pasta ongevuld ongekookt,Makaron zwykły niegotowany,Testenine navadne nekuhane
A007F,Fresh pasta,Fersk pasta,Frische Nudeln,Νωπά ζυμαρικά,Pasta fresca,Pasta fresca,Verse pasta,Makaron świeży,Sveže testenine
A007L,Dried pasta,Tørket pasta,Getrocknete Nudeln,Ξηρά ζυμαρικά,Pasta seca,Pasta secca,Gedroogde pasta,Makaron suszony,Sušene testenine
A007R,Asian-style noodles other than glass noodles,Asiatiske nudler unntatt glassnudler,Asiatische Nudeln außer Glasnudeln,Ασιατικά νούντλς εκτός από γυάλινα,Fideos asiáticos excepto de cristal,Noodle asiatici esclusi quelli di vetro,Aziatische noedels behalve glasnoedels,Makaron azjatycki poza szklanym,Azijski rezanci razen steklenih
A008B,"Pasta, gluten free",Glutenfri pasta,Glutenfreie Nudeln,Ζυμαρικά χωρίς γλουτένη,Pasta sin gluten,Pasta senza glutine,Glutenvrije pasta,Makaron bezglutenowy,Brezglutenske testenine
A008C,Couscous,Couscous,Couscous,Κους κους,Cuscús,Cuscus,Couscous,Kuskus,Kuskus
A008D,Gnocchi,Gnocchi,Gnocchi,Νιόκι,Ñoquis,Gnocchi,Gnocchi,Gnocchi,Njoki
A008F,"Noodle, rice",Risnudler,Reisnudeln,Νούντλς ρυζιού,Fideos de arroz,Noodle di riso,Rijstnoedels,Makaron ryżowy,Riževi rezanci
A008H,Yeast leavened bread doughs,Gjærbakt brøddeig,Hefeteig für Brot,Ζύμες ψωμιού με μαγιά,Masas de pan con levadura,Impasti di pane lievitati,Gistdeeg voor brood,Ciasta chlebowe na drożdżach,Kvašena kruhova testa
A009L,Laminated doughs,Butterdeig og lignende,Blätterteig,Ζύμες σφολιάτας,Masas laminadas,Impasti sfogliati,Bladerdeeg,Ciasta laminowane,Listnata testa
A009X,"Biscuits, sweet, plain",Søte kjeks uten fyll,Süße Kekse ohne Füllung,Μπισκότα γλυκά απλά,Galletas dulces sencillas,Biscotti dolci semplici,Zoete koekjes zonder vulling,Herbatniki słodkie zwykłe,Sladki keksi navadni
A00AE,"Biscuit with inclusions, filling or coating",Kjeks med fyll eller trekk,Kekse mit Füllung oder Überzug,Μπισκότα με γέμιση ή επικάλυψη,Galletas con relleno o cobertura,Biscotti farciti o ricoperti,Koekjes met vulling of laagje,Herbatniki z nadzieniem lub polewą,Keksi z nadevom ali oblivom
A00AG,Choux pastry,Vannbakkels,Brandteig,Ζύμη σου,Pasta choux,Pasta choux,Soezendeeg,Ciasto parzone,Prhko testo (choux)
A00AN,Cakes,Kaker,Kuchen,Κέικ,Pasteles,Torte,Cakes,Ciasta,Torte in kolači
A00BK,Yeast leavened pastry,Gjærbakst,Hefegebäck,Ζυμαρικά με μαγιά,Bollería con levadura,Lievitati da forno,Gistgebak,Wypieki drożdżowe,Kvašeno pecivo
A00BL,Buns,Boller,Brötchen süß,Ψωμάκια γλυκά,Bollos,Panini dolci,Broodjes zoet,Bułki słodkie,Sladke žemljice
A00BM,Croissant,Croissant,Croissant,Κρουασάν,Cruasán,Croissant,Croissant,Rogalik,Rogljiček
A00BR,Doughnuts-berliner,Smultringer og berlinerboller,Berliner und Donuts,Ντόνατς και μπερλίνερ,Rosquillas y berlinas,Ciambelle e krapfen,Donuts en berlinerbollen,Pączki i donuty,Krofi in donuti
A00BT,Brioche type products,Briocheprodukter,Briocheartige Backwaren,Προϊόντα τύπου μπριός,Productos tipo brioche,Prodotti tipo brioche,Briocheproducten,Wyroby typu brioche,Izdelki vrste brioš
A00BV,Shortcrust (pies -tarts),Mørdeigspaier og terter,Mürbeteiggebäck (Kuchen und Torten),Ζύμη τάρτας (πίτες και τάρτες),Masa quebrada (tartas),Pasta frolla (crostate),Zanddeeg (taarten),Kruche ciasto (tarty),Krhko testo (pite in tarte)
A00BX,Flan tart,Flanterte,Puddingtorte,Τάρτα φλαν,Tarta de flan,Crostata di crema,Vlaai,Tarta budyniowa,Kremna tarta
