NEVO-code,food_group_en,food_name_en,food_group_nl,food_name_nl,remark_nl,synonym_nl,food_group_no,food_name_no,food_group_de,food_name_de,food_group_es,food_name_es,food_group_el,food_name_el,food_group_it,food_name_it,food_group_pl,food_name_pl,food_group_sl,food_name_sl
1,Potatoes and tubers,Potatoes raw,Aardappelen en knolgewassen,Aardappelen rauw,,,Poteter og knoller,Rå poteter,Kartoffeln und Knollen,"Kartoffeln, roh",Patatas y tubérculos,Patatas crudas,Πατάτες και κονδύλοι,Πατάτες ωμές,Patate e tuberi,Patate crude,Ziemniaki i bulwy,Ziemniaki surowe,Krompir in gomolji,Surovi krompir
2,Potatoes and tubers,Potatoes new raw,Aardappelen en knolgewassen,Aardappelen nieuwe rauw,,,Poteter og knoller,"Nye poteter, rå",Kartoffeln und Knollen,"Neue Kartoffeln, roh",Patatas y tubérculos,Patatas nuevas crudas,Πατάτες και κονδύλοι,Νέες πατάτες ωμές,Patate e tuberi,Patate novelle crude,Ziemniaki i bulwy,Ziemniaki młode surowe,Krompir in gomolji,"Krompir, nov, surov"
3,Potatoes and tubers,Potatoes old raw,Aardappelen en knolgewassen,Aardappelen oude rauw,,,Poteter og knoller,Gamle rå poteter,Kartoffeln und Knollen,"Alte Kartoffeln, roh",Patatas y tubérculos,Patatas viejas crudas,Πατάτες και κονδύλοι,Παλιές πατάτες ωμές,Patate e tuberi,Patate vecchie crude,Ziemniaki i bulwy,Ziemniaki stare surowe,Krompir in gomolji,"Krompir, star, surov"
4,Cereal products and types of flour,Pasta white raw,Graanproducten en meelsoorten,Pasta witte rauw,,Macaroni/spaghetti/tagliatelle/noedels/mie/vermicelli witte onbereid,Kornprodukter og meltyper,"Hvit pasta, rå",Getreideprodukte und Mehlsorten,"Weiße Nudeln, roh",Productos de cereales y tipos de harina,Pasta blanca cruda,Προϊόντα δημητριακών και είδη αλεύρων,Λευκά ζυμαρικά ωμά,Prodotti a base di cereali e tipi di farina,Pasta bianca cruda,Produkty zbożowe i rodzaje mąki,Makaron biały surowy,Žitni izdelki in vrste moke,"Bele testenine, surove"
5,Cereal products and types of flour,Rice white raw,Graanproducten en meelsoorten,Rijst witte rauw,,Witte rijst onbereid,Kornprodukter og meltyper,"Hvit ris, rå",Getreideprodukte und Mehlsorten,"Weißer Reis, roh",Productos de cereales y tipos de harina,Arroz blanco crudo,Προϊόντα δημητριακών και είδη αλεύρων,Λευκό ρύζι ωμό,Prodotti a base di cereali e tipi di farina,Riso bianco crudo,Produkty zbożowe i rodzaje mąki,Ryż biały surowy,Žitni izdelki in vrste moke,"Beli riž, surov"
7,Vegetables,Endive raw,Groente,Andijvie rauw,,,Grønnsaker,"Endiv, rå",Gemüse,"Endivie, roh",Verduras,Endibia cruda,Λαχανικά,Ακατέργαστη ενδιβή,Verdure,Indivia cruda,Warzywa,Cykoria surowa,Zelenjava,"Endivija, surova"
8,Vegetables,Endive boiled,Groente,Andijvie gekookt,,,Grønnsaker,Kokt endiv,Gemüse,Gekochte Endivie,Verduras,Endibia hervida,Λαχανικά,Βρασμένη ενδιβή,Verdure,Indivia bollita,Warzywa,Gotowana cykoria,Zelenjava,Kuhana endivija
9,Vegetables,Asparagus white raw,Groente,Asperge witte rauw,,,Grønnsaker,"Hvit asparges, rå",Gemüse,"Weißer Spargel, roh",Verduras,Espárragos blancos crudos,Λαχανικά,Λευκά σπαράγγια ωμά,Verdure,Asparagi bianchi crudi,Warzywa,Szparagi białe surowe,Zelenjava,"Beli šparglji, surovi"
10,Vegetables,Aubergine/eggplant raw,Groente,Aubergine rauw,,,Grønnsaker,Aubergine/eggplant rå,Gemüse,"Aubergine, roh",Verduras,Berenjena cruda,Λαχανικά,Μελιτζάνα ωμή,Verdure,Melanzana cruda,Warzywa,Bakłażan surowy,Zelenjava,"Jajčevec, surov"
11,Vegetables,Aubergine/eggplant boiled,Groente,Aubergine gekookt,,,Grønnsaker,Aubergine/eggplant kokt,Gemüse,"Aubergine, gekocht",Verduras,Berenjena hervida,Λαχανικά,Μελιτζάνα βρασμένη,Verdure,Melanzana bollita,Warzywa,Bakłażan gotowany,Zelenjava,Kuhana jajčevca
12,Vegetables,Beetroot raw,Groente,Biet rode rauw,,Rode bieten rauw/Kroten rauw,Grønnsaker,"Rødbeter, rå",Gemüse,"Rote Bete, roh",Verduras,Remolacha cruda,Λαχανικά,Παντζάρι ωμό,Verdure,Barbabietola cruda,Warzywa,Burak ćwikłowy surowy,Zelenjava,Surova rdeča pesa
13,Vegetables,Celery boiled,Groente,Selderij bleek- gekookt,,Bleekselderij gekookt,Grønnsaker,Kokt selleri,Gemüse,Gekochter Sellerie,Verduras,Apio hervido,Λαχανικά,Σέλινο βρασμένο,Verdure,Sedano bollito,Warzywa,Seler gotowany,Zelenjava,Kuhana zelena
14,Vegetables,Cauliflower raw,Groente,Kool bloem- rauw,,Bloemkool rauw,Grønnsaker,"Blomkål, rå",Gemüse,"Blumenkohl, roh",Verduras,Coliflor cruda,Λαχανικά,Κουνουπίδι ωμό,Verdure,Cavolfiore crudo,Warzywa,Kalafior surowy,Zelenjava,Surov cvetača
15,Vegetables,Cauliflower boiled,Groente,Kool bloem- gekookt,,Bloemkool gekookt,Grønnsaker,Kokt blomkål,Gemüse,Gekochter Blumenkohl,Verduras,Coliflor hervida,Λαχανικά,Βρασμένο κουνουπίδι,Verdure,Cavolfiore bollito,Warzywa,Kalafior gotowany,Zelenjava,Kuhani cvetača
16,Vegetables,Kale curly boiled,Groente,Kool boeren- gekookt,,Boerenkool gekookt,Grønnsaker,"Krøllkål, kokt",Gemüse,"Grünkohl, kraus, gekocht",Verduras,Col rizada hervida,Λαχανικά,Σγουρό λάχανο βρασμένο,Verdure,Cavolo riccio bollito,Warzywa,Jarmuż kędzierzawy gotowany,Zelenjava,Kuhana kodrasta ohrovt
